lead_id,email,lead_created_at,lead_utm_campaign,lead_utm_source,lead_utm_medium,lead_utm_content,lead_utm_term,company_name,industry,country,lead_status
L10001,36511f493daf8143e4540f9a3b73e6d4fea495c19ed45b2190d6d0dde4245597,2024-10-11 03:00:00,Retargeting Campaign;1003;Retargeting;2007,google,organic,content_7,keyword_3,Company G,Manufacturing,Austria,Nurture
L10002,01c0466b19752ba2bfd2e0fdfd0163908e25fb8ecb38d3c8c50376080b42ab0d,2024-09-02 17:00:00,Content Downloads;1006;Lookalike Audience;2016,direct,organic,content_1,,Company F,Education,Switzerland,Qualified
L10003,8039aa5b6755e61449c9b9d0bbe772bbb800fc48fb0a58416aae0c5976f294e6,2024-09-18 04:00:00,Retargeting Campaign;1003;Retargeting;2007,direct,email,content_1,,Company R,Software,Switzerland,New
L10004,b4541e116f443909c8d566fdaf0e5a3b78846a12de5cf38b11d49595dd0c431e,2024-10-06 09:00:00,,linkedin,cpc,content_4,,Company C,Manufacturing,Germany,Not Interested
L10005,7ba6d88ef36bfc6fdd1c494f702c9b408b03010914061388579084fca07e0318,2024-09-18 14:00:00,Content Downloads,linkedin,email,,,Company C,Healthcare,France,Nurture
L10006,4890dd3342d5a148ac6562eaa10826940735802c88991518a70ff491a676f913,2024-10-17 07:00:00,Product Launch 2024;1004;Cold Traffic;2010,organic,email,,,Company H,Software,Netherlands,Not Interested
L10007,6862efc96e5df55a4beb1775d99c3eb7f81807c25efe08fff8a80f8c46559ae1,2024-09-18 02:00:00,Demo Requests Campaign;1005;Interest Targeting;2013,linkedin,referral,content_8,keyword_5,Company H,Education,Austria,Nurture
L10008,10807d37d4eb7b0b8e8d31a9bf58c6c7e3591d58ddb23268216483b218ddd2b2,2024-09-17 23:00:00,Google Brand Campaign,google,cpc,,,Company E,Education,France,Not Interested
L10009,c6600196f589d2d7f7967b070966f3fb8734b252ff7bb8dd78a7214ce4c6e12c,2024-10-09 02:00:00,Google Search Prospecting,organic,cpc,content_2,,Company R,Retail,Netherlands,New
L10010,ab86eebf95fef1e623723956c588875455779cf5cd54676b89bbfe2b58512706,2024-09-19 13:00:00,Brand Awareness Q4;1001;Interest Targeting;2001,,email,,,Company Q,Software,Netherlands,Nurture
L10011,dcc3093dd32a3add062e60466c2c7a3bd7b9213251613d394d3b78c710391a82,2024-10-09 06:00:00,Lead Generation | DE | Form;1002;Lookalike Audience;2004,organic,,content_8,keyword_12,Company J,Manufacturing,Germany,Contacted
L10012,dacd34c9a0308ac6c68e43840558944545204f4677fe8e93253510affd548aa6,2024-10-27 18:00:00,,direct,organic,,keyword_16,Company R,Manufacturing,Netherlands,Nurture
L10013,00138431db2b671f67f466fcf18089cbb34c4a9c57c9c1b8bac3becb1be4a000,2024-10-26 19:00:00,Product Launch 2024,,social,,keyword_12,Company O,Healthcare,Switzerland,New
L10014,200c7b2abb5b9444e66ee1d3b3c4a23af5a78c3041333b3e7864a1700c9d81e7,2024-09-16 07:00:00,Brand Awareness Q4;1001;Interest Targeting;2001,google,cpc,content_1,keyword_2,Company K,Software,Austria,Contacted
L10015,763afffe4563f8b80bd82c4c2bfb9860875a963f247085c32e55e6d9a7027b5f,2024-09-18 21:00:00,Retargeting Campaign,organic,social,,,Company G,Software,Germany,Not Interested
L10016,d44259a0e9926e0305ef005416a0f12c11bcd8d11459d6f341270e52aac4da55,2024-09-23 13:00:00,Brand Awareness Q4,facebook,email,,keyword_7,Company G,Healthcare,Switzerland,Contacted
L10017,914099bfdfa6597e268c4df776faf2321478a6e62c6b15bfba904d1d8fa3af8d,2024-09-28 05:00:00,24-09 | DE | Leads | Form | ALC+ | 120220805451400171,facebook,organic,content_9,,Company C,Manufacturing,France,Not Interested
L10018,5ddc6e6378c2a9130a538044a1128d22cf8cf68d4d479fc703f9a974b872565d,2024-10-02 15:00:00,Product Launch 2024;1004;Cold Traffic;2010,,cpc,,keyword_15,Company J,Finance,Austria,Not Interested
L10019,69b76a6d8d16674358fc2718466cc1fda0a77268fc869317f86d074aba6817dd,2024-09-10 06:00:00,24-09 | DE | Leads | Form | ALC+ | 120220805451400171,organic,email,content_10,keyword_17,Company F,Software,Austria,New
L10020,7703412c94092ef8f8ed6d77af757fd04138f00e1b360cfe916b6dcf931f3c70,2024-10-25 05:00:00,Brand Awareness Q4;1001;Interest Targeting;2001,google,organic,content_10,keyword_3,Company N,Education,Austria,Nurture
L10021,8435e83bfd7254ae7fb6530629177498430d69beee83cbf3eac65ffadf66743a,2024-10-04 10:00:00,,linkedin,referral,content_5,keyword_3,Company A,Finance,Austria,Nurture
L10022,c5ee3ffca2862ad9f5a00d0ab53811dcfeaeed42c6673bb763a9cd85b2c0a301,2024-09-07 02:00:00,Demo Requests Campaign,linkedin,social,content_3,keyword_18,Company J,Healthcare,Austria,New
L10023,9ae30795592ca84b49eab01949bb6c7bdbf80654bfa31306a6e02e9bc3907dfd,2024-10-13 17:00:00,24-09 | NL | Conversion | Image | RET | 112233445566778899,google,cpc,,keyword_10,Company T,Manufacturing,Netherlands,Contacted
L10024,ef821487ae03a4f288445dfa0bf202822516a858b9d9439ea50fa5d8b7806b09,2024-10-14 20:00:00,,linkedin,,,keyword_14,Company I,Software,Germany,Qualified
L10025,793b53c4096059d526cccdd5d5e61a61e6220b5439251f6c17cdfe30961565bf,2024-10-20 04:00:00,Demo Requests Campaign,direct,referral,content_2,keyword_5,Company R,Software,Netherlands,Nurture
L10026,5114fa5810a2a6bf5215634986917a3ada3b85d0b4d905bba86965e02460af55,2024-10-06 04:00:00,Brand Awareness Q4,facebook,social,content_2,keyword_18,Company N,Healthcare,France,Contacted
L10027,1f21e08b1d25fb6c61d2b587dcb051df39449c1eb568273ff6df239ff8156671,2024-10-26 05:00:00,,direct,email,,keyword_8,Company I,Manufacturing,Germany,Not Interested
L10028,fd0e1ae857a1c5239d7953c5fcfb9ecee79f44c8316342cdb8aa0416b3bd0dc2,2024-10-26 01:00:00,,direct,social,content_4,keyword_9,Company C,Retail,Netherlands,Nurture
L10029,158af17f27c798c02d011f03f9ce264005729de96121707cd3392136b0130b83,2024-09-26 21:00:00,,facebook,email,content_5,keyword_20,Company N,Retail,Netherlands,Not Interested
L10030,31bc0a8039b6aa4a5bf0293e630d47ccee57dbe9a85745ad2bbba7e3a7f4e411,2024-10-09 16:00:00,Demo Requests Campaign;1005;Interest Targeting;2013,facebook,cpc,content_9,,Company G,Retail,Switzerland,New
L10031,d93a7c96f1f08e137399fe3c61522794ce6c0b6985f03e52d86ba237e196d32e,2024-10-13 10:00:00,Lead Generation | DE | Form,linkedin,referral,content_5,,Company G,Finance,Switzerland,Contacted
L10032,d3e8f795c84d63f981f3eef34ed4097dbcd9f0171114f327076715a1957c2427,2024-10-10 18:00:00,Brand Awareness Q4,google,organic,content_6,keyword_15,Company G,Healthcare,Switzerland,Contacted
L10033,70d416137a6ad140a60ca9ff2e78e59426ae2fefbb9148c7f88f681e14e60aeb,2024-10-13 02:00:00,24-09 | NL | Conversion | Image | RET | 112233445566778899,linkedin,social,content_4,,Company E,Software,Germany,Contacted
L10034,340fdee4d8f469bb38088a55738f2547dbf78fd72590eb58141a16975a1fb5e3,2024-10-01 19:00:00,,direct,organic,content_7,keyword_8,Company E,Education,Germany,New
L10035,9e738ce2f01f5502e5134639b7136fc1a125456ccb4e0b48289a95e903922677,2024-10-20 13:00:00,Content Downloads;1006;Lookalike Audience;2016,facebook,cpc,content_8,,Company R,Healthcare,Netherlands,Not Interested
L10036,cc3dd79951995d901f00c682119966b9cc66bee388682a0f268058cda756d790,2024-10-10 23:00:00,,organic,social,,keyword_9,Company H,Education,Netherlands,Nurture
L10037,c31ebdd324df61fb671765580b0dd7e556a4dd1e94c3f0ca23f6bf5f4cc7d2d6,2024-10-02 20:00:00,Product Launch 2024;1004;Cold Traffic;2010,linkedin,email,content_9,keyword_5,Company H,Finance,France,Contacted
L10038,4bb8995b877e6e0a93c84372c87c1efc6b6f606f7dfd47e9cf43f7b6de36b14f,2024-09-05 13:00:00,Google Search Prospecting,google,referral,,,Company A,Healthcare,Switzerland,Not Interested
L10039,5859c319da0f9265dbe7fbe72ab5096f426e8e47be80bd84ea8ecce929794d52,2024-09-01 11:00:00,24-10 | FR | Awareness | Video | BRD | 098765432109876543,direct,organic,,,Company P,Manufacturing,Netherlands,Not Interested
L10040,efb719617a4d4208262e595c90a0dcd0ff385b52a98517360f94715b6b2caec4,2024-10-02 00:00:00,Google Brand Campaign,direct,,,,Company M,Healthcare,Austria,New
